Getting runtime scan results...
Found 1000 runtime scan results

Created At   Result ID           AWS Account          Resource Type Resource Name                  Crit High Medium Low 
----------------------------------------------------------------------------------------------------------------------------------
             186917eab3ce3c8d... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             186917e291ede851... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             1869181fb937c3aa... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             186922241645c90f... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             18693f795a106246... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             18693f2c312259df... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             186934ae818e817a... dem-loglass          ECS          dem-loglass-tableau-batch/tableau-batch 6    61   55     8   
             186918229abcbc7f... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             18694916b5748608... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             186917df7035e321... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             18694618aaf96a0e... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             18693f838906d915... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             18693f855847d233... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             1869183e0a86660b... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             186917de056f295f... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             18693f37c851a7ad... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch 6    61   55     8   
             186914b45d6e2d18... dev-abyzz            ECS          dev-dify/dify-worker           6    57   50     8   
             186925df5b66da92... dev-abyzz            ECS          dev-dify/dify-api              6    57   50     8   
             18693584e99e5644... prd-loglass          Lambda       SynthMonitorPlaywrightLogin    5    88   124    13  
